"","country","continent","iso_alpha","iso_num","cntry_col","cntnt_col","iso2c","variable","measurement"
"182","Cameroon","Africa","CMR",120,"#BA5F08","#7F3B08","CM","air",72.7930962237353
"183","Canada","Americas","CAN",124,"#CE2726","#40004B","CA","air",6.42838313258525
"184","Central African Republic","Africa","CAF",140,"#F5AA4E","#7F3B08","CF","air",56.8284973827312
"185","Chad","Africa","TCD",148,"#DE8013","#7F3B08","TD","air",66.0292054967769
"186","Chile","Americas","CHL",152,"#E04430","#7F3B08","CL","air",21.0362990619754
"187","China","Asia","CHN",156,"#40004B","#40004B","CN","air",52.6645958291981
"188","Colombia","Americas","COL",170,"#BE1826","#7F3B08","CO","air",16.5272102219124
"189","Comoros","Africa","COM",174,"#FDD6A2","#276419","KM","air",20.5468245996681
"190","Congo, Dem. Rep.","Africa","COD",180,"#8B4107","#276419","CD","air",44.9092635986842
"191","Congo, Rep.","Africa","COG",178,"#F7AE55","#A50026","CG","air",46.6382202758892
"192","Costa Rica","Americas","CRI",188,"#FDB668","#A50026","CR","air",15.7259203021082
"193","Cote d'Ivoire","Africa","CIV",384,"#B75C07","#313695","CI","air",25.8862663364222
"194","Croatia","Europe","HRV",191,"#C6E79C","#313695","HR","air",17.9017722884016
"195","Cuba","Americas","CUB",192,"#EF623E","#276419","CU","air",19.7060474004201
"196","Cyprus","Europe",NA,NA,NA,NA,"CY","air",17.2944061994662
"197","Czech Republic","Europe","CZE",203,"#7BB93E","#313695","CZ","air",16.0712453523646
"198","Denmark","Europe","DNK",208,"#A2D26B","#313695","DK","air",10.0296534385694
"199","Djibouti","Africa","DJI",262,"#FDDCAF","#7F3B08","DJ","air",45.5496175977411
"200","Dominican Republic","Americas","DOM",214,"#F46D43","#313695","DO","air",13.726321150433
"201","Ecuador","Americas","ECU",218,"#E54E35","#A50026","EC","air",14.8861006610676
"202","Egypt","Africa","EGY",818,"#833D07","#A50026","EG","air",86.9994520503272
"203","El Salvador","Americas","SLV",222,"#FA9856","#276419","SV","air",24.4722922946922
"204","Equatorial Guinea","Africa","GNQ",226,"#FDD9A8","#313695","GQ","air",53.2406210371101
"205","Eritrea","Africa","ERI",232,"#F3A548","#313695","ER","air",48.0301986806015
"206","Estonia","Europe",NA,NA,NA,NA,"EE","air",6.73212401545877
"207","Eswatini","Africa",NA,NA,NA,NA,"SZ","air",17.1687873115117
"208","Ethiopia","Africa","ETH",231,"#873F07","#40004B","ET","air",38.9787377576037
"209","Fiji","Oceania",NA,NA,NA,NA,"FJ","air",10.8401599042944
"210","Finland","Europe","FIN",246,"#B2DD7E","#A50026","FI","air",5.86133100081928
"211","France","Europe","FRA",250,"#31701B","#40004B","FR","air",11.8149636162893
"212","Gabon","Africa","GAB",266,"#FDCA88","#313695","GA","air",44.3855484644179
"213","Gambia","Africa","GMB",270,"#FDC074","#A50026","GM","air",33.9826385538147
"214","Georgia","Asia",NA,NA,NA,NA,"GE","air",22.1960546181194
"215","Germany","Europe","DEU",276,"#276419","#7F3B08","DE","air",12.028767360745
"216","Ghana","Africa","GHA",288,"#AB5406","#A50026","GH","air",34.713514102152
"217","Greece","Europe","GRC",300,"#599C28","#313695","GR","air",16.2182663806558
"218","Grenada","Americas",NA,NA,NA,NA,"GD","air",22.722687475907
"219","Guatemala","Americas","GTM",320,"#EA5839","#40004B","GT","air",24.0706489340746
"220","Guinea","Africa","GIN",324,"#E18417","#A50026","GN","air",26.062490198745
"221","Guinea-Bissau","Africa","GNB",624,"#FDC681","#276419","GW","air",29.774702280636
"222","Guyana","Americas",NA,NA,NA,NA,"GY","air",22.3755746295002
"223","Haiti","Americas","HTI",332,"#F7824D","#A50026","HT","air",15.0198243767223
"224","Honduras","Americas","HND",340,"#F88D51","#40004B","HN","air",20.6288506487651
"225","Hungary","Europe","HUN",348,"#5FA12D","#7F3B08","HU","air",15.9260481922424
"226","Iceland","Europe","ISL",352,"#E6F5D0","#313695","IS","air",6.48114726265749
"227","India","Asia","IND",356,"#460552","#276419","IN","air",90.8732104688993
"228","Indonesia","Asia","IDN",360,"#4D0A59","#313695","ID","air",16.5026533008949
"229","Iran","Asia","IRN",364,"#762A83","#7F3B08","IR","air",38.9787602813703
"230","Iraq","Asia","IRQ",368,"#9467A5","#40004B","IQ","air",61.6362357139826
"231","Ireland","Europe","IRL",372,"#CCE9A7","#7F3B08","IE","air",8.20857673526837
"232","Israel","Asia","ISR",376,"#C2A5CF","#A50026","IL","air",21.3811022400146
"233","Italy","Europe","ITA",380,"#3B7D1D","#313695","IT","air",16.7507119446607
"234","Jamaica","Americas","JAM",388,"#FDD788","#7F3B08","JM","air",13.4041505299481
"235","Japan","Asia","JPN",392,"#611A6D","#40004B","JP","air",11.7047781866642
"236","Jordan","Asia","JOR",400,"#C6AAD2","#40004B","JO","air",33.0060811782318
"237","Kazakhstan","Asia",NA,NA,NA,NA,"KZ","air",13.8242883553909
"238","Kenya","Africa","KEN",404,"#9B4A06","#40004B","KE","air",28.5783742715702
"239","Kiribati","Oceania",NA,NA,NA,NA,"KI","air",10.6408558565694
"240","Korea, Rep.","Asia","KOR",410,"#7E3B8C","#40004B","KR","air",25.0394253880491
"241","Kuwait","Asia","KWT",414,"#E2CEE4","#276419","KW","air",60.7451595380732
"242","Latvia","Europe",NA,NA,NA,NA,"LV","air",13.4264575158321
"243","Lebanon","Asia","LBN",422,"#D4BCDB","#7F3B08","LB","air",30.6211105076066
"244","Lesotho","Africa","LSO",426,"#FDBD6E","#7F3B08","LS","air",28.0286535158261
"245","Liberia","Africa","LBR",430,"#FCB661","#276419","LR","air",17.9841124551525
"246","Libya","Africa","LBY",434,"#EE9D3C","#40004B","LY","air",54.2546817939319
"247","Lithuania","Europe",NA,NA,NA,NA,"LT","air",11.8532823587456
"248","Luxembourg","Europe",NA,NA,NA,NA,"LU","air",10.3646374004433
"249","Madagascar","Africa","MDG",450,"#B35806","#276419","MG","air",22.5422828750867
"250","Malawi","Africa","MWI",454,"#C2650A","#40004B","MW","air",23.5659214726087
"251","Malaysia","Asia","MYS",458,"#9970AB","#276419","MY","air",16.0358087060705
"252","Maldives","Asia",NA,NA,NA,NA,"MV","air",7.79582079890031
"253","Mali","Africa","MLI",466,"#D37610","#40004B","ML","air",38.5266061638458
"254","Malta","Europe",NA,NA,NA,NA,"MT","air",13.9095433663149
"255","Mauritania","Africa","MRT",478,"#FAB25B","#40004B","MR","air",47.4229917763898
"256","Mauritius","Africa","MUS",480,"#FDCD8E","#7F3B08","MU","air",14.4578273223582
"257","Mexico","Americas","MEX",484,"#B51026","#313695","MX","air",20.9211157874081
"258","Micronesia","Oceania",NA,NA,NA,NA,"FM","air",11.2833994444834
"259","Moldova","Europe",NA,NA,NA,NA,"MD","air",16.2510327081515
"260","Mongolia","Asia","MNG",496,"#DDC8E1","#40004B","MN","air",40.1128490470476
"261","Montenegro","Europe","MNE",499,"#DFF2C5","#276419","ME","air",20.7818135501738
"262","Morocco","Africa","MAR",504,"#9F4D06","#276419","MA","air",32.5935414574286
"263","Mozambique","Africa","MOZ",508,"#AF5606","#40004B","MZ","air",21.2986954591341
"264","Myanmar","Asia","MMR",104,"#834492","#276419","MM","air",35.5574529190767
"265","Namibia","Africa","NAM",516,"#FDBA67","#313695","NA","air",25.3587653984573
"266","Nepal","Asia","NPL",524,"#8B559B","#7F3B08","NP","air",99.7343737198505
"267","Netherlands","Europe","NLD",528,"#529624","#276419","NL","air",12.0344080729237
"268","New Zealand","Oceania","NZL",554,"#4575B4","#A50026","NZ","air",5.95600112941562
"269","Nicaragua","Americas","NIC",558,"#FDAE61","#7F3B08","NI","air",17.6141804489581
"270","Niger","Africa","NER",562,"#C5690B","#276419","NE","air",94.0538176774282
"271","Nigeria","Africa","NGA",566,"#7F3B08","#7F3B08","NG","air",71.7981743753326
"272","North Macedonia","Europe",NA,NA,NA,NA,"MK","air",29.7269445083568
"273","Norway","Europe","NOR",578,"#B9E188","#40004B","NO","air",6.95651980294718
"274","Oman","Asia","OMN",512,"#D9C2DE","#A50026","OM","air",41.1152382655137
